Food code,Main food description,Gender,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Choline,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,RDA_Vitamin A_(mg),RDA_Vitamin B1_(mg),RDA_Vitamin B2_(mg),RDA_Vitamin B3_(mg),RDA_Vitamin B6_(mg),RDA_Vitamin B9_(mg),RDA_Vitamin B12_(mg),RDA_Vitamin C_(mg),RDA_Vitamin D_(mg),RDA_Vitamin E_(mg),RDA_Vitamin K_(mg),RDA_Choline_(mg),RDA_Calcium_(mg),RDA_Phosphorus_(mg),RDA_Magnesium_(mg),RDA_Iron_(mg),RDA_Zinc_(mg),RDA_Copper_(mg),RDA_Selenium_(mg),RDA_Potassium_(mg)
11000000,"Milk, human",Male,0.061,0.014,0.036,0.177,0.011,0.005,5e-05,5.0,0.0001,0.08,0.0003,16.0,32,14,3,0.03,0.17,0.052,0.0018,51,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11000000,"Milk, human",Female,0.061,0.014,0.036,0.177,0.011,0.005,5e-05,5.0,0.0001,0.08,0.0003,16.0,32,14,3,0.03,0.17,0.052,0.0018,51,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11100000,"Milk, NFS",Male,0.058,0.057,0.137,0.11,0.061,0.001,0.0005600000000000001,0.1,0.0011,0.03,0.0002,17.9,125,103,12,0.0,0.43,0.001,0.0019,156,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11100000,"Milk, NFS",Female,0.058,0.057,0.137,0.11,0.061,0.001,0.0005600000000000001,0.1,0.0011,0.03,0.0002,17.9,125,103,12,0.0,0.43,0.001,0.0019,156,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11111000,"Milk, whole",Male,0.032,0.056,0.138,0.105,0.061,0.0,0.00054,0.0,0.0011,0.05,0.0003,17.8,123,101,12,0.0,0.42,0.001,0.0019,150,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11111000,"Milk, whole",Female,0.032,0.056,0.138,0.105,0.061,0.0,0.00054,0.0,0.0011,0.05,0.0003,17.8,123,101,12,0.0,0.42,0.001,0.0019,150,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11112110,"Milk, reduced fat (2%)",Male,0.083,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,18.2,126,103,12,0.0,0.43,0.001,0.0018,159,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11112110,"Milk, reduced fat (2%)",Female,0.083,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,18.2,126,103,12,0.0,0.43,0.001,0.0018,159,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11112210,"Milk, low fat (1%)",Male,0.058,0.057,0.14,0.113,0.06,0.002,0.00061,0.0,0.0011,0.02,0.0001,17.4,126,103,12,0.0,0.43,0.001,0.0021000000000000003,159,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11112210,"Milk, low fat (1%)",Female,0.058,0.057,0.14,0.113,0.06,0.002,0.00061,0.0,0.0011,0.02,0.0001,17.4,126,103,12,0.0,0.43,0.001,0.0021000000000000003,159,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11113000,"Milk, fat free (skim)",Male,0.064,0.056,0.131,0.118,0.058,0.002,0.00058,0.0,0.0011,0.0,0.0,18.2,132,107,12,0.0,0.45,0.002,0.002,167,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11113000,"Milk, fat free (skim)",Female,0.064,0.056,0.131,0.118,0.058,0.002,0.00058,0.0,0.0011,0.0,0.0,18.2,132,107,12,0.0,0.45,0.002,0.002,167,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11114300,"Milk, lactose free, low fat (1%)",Male,0.058,0.057,0.14,0.113,0.06,0.002,0.00061,0.0,0.0011,0.02,0.0001,17.4,126,103,12,0.0,0.43,0.001,0.0021000000000000003,159,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11114300,"Milk, lactose free, low fat (1%)",Female,0.058,0.057,0.14,0.113,0.06,0.002,0.00061,0.0,0.0011,0.02,0.0001,17.4,126,103,12,0.0,0.43,0.001,0.0021000000000000003,159,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11114320,"Milk, lactose free, fat free (skim)",Male,0.064,0.056,0.131,0.118,0.058,0.002,0.00058,0.0,0.0011,0.0,0.0,18.2,132,107,12,0.0,0.45,0.002,0.002,167,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11114320,"Milk, lactose free, fat free (skim)",Female,0.064,0.056,0.131,0.118,0.058,0.002,0.00058,0.0,0.0011,0.0,0.0,18.2,132,107,12,0.0,0.45,0.002,0.002,167,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11114330,"Milk, lactose free, reduced fat (2%)",Male,0.083,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,18.2,126,103,12,0.0,0.43,0.001,0.0018,159,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11114330,"Milk, lactose free, reduced fat (2%)",Female,0.083,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,18.2,126,103,12,0.0,0.43,0.001,0.0018,159,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11114350,"Milk, lactose free, whole",Male,0.032,0.056,0.138,0.105,0.061,0.0,0.00054,0.0,0.0011,0.05,0.0003,17.8,123,101,12,0.0,0.42,0.001,0.0019,150,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11114350,"Milk, lactose free, whole",Female,0.032,0.056,0.138,0.105,0.061,0.0,0.00054,0.0,0.0011,0.05,0.0003,17.8,123,101,12,0.0,0.42,0.001,0.0019,150,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11115000,"Buttermilk, fat free (skim)",Male,0.014,0.034,0.154,0.058,0.034,0.005,0.00022,1.0,0.0,0.05,0.0001,17.7,116,89,11,0.05,0.42,0.011,0.002,151,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11115000,"Buttermilk, fat free (skim)",Female,0.014,0.034,0.154,0.058,0.034,0.005,0.00022,1.0,0.0,0.05,0.0001,17.7,116,89,11,0.05,0.42,0.011,0.002,151,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11115300,"Buttermilk, whole",Male,0.047,0.047,0.172,0.09,0.036,0.005,0.00046,0.0,0.0013,0.07,0.0003,14.6,115,85,10,0.03,0.38,0.025,0.0037,135,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11115300,"Buttermilk, whole",Female,0.047,0.047,0.172,0.09,0.036,0.005,0.00046,0.0,0.0013,0.07,0.0003,14.6,115,85,10,0.03,0.38,0.025,0.0037,135,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11115400,"Kefir, NS as to fat content",Male,0.174,0.03,0.172,0.128,0.059,0.018,0.0003,0.8,0.001,0.04,0.0006,15.2,124,100,12,0.04,0.45,0.009,0.0036,159,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11115400,"Kefir, NS as to fat content",Female,0.174,0.03,0.172,0.128,0.059,0.018,0.0003,0.8,0.001,0.04,0.0006,15.2,124,100,12,0.04,0.45,0.009,0.0036,159,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11116000,"Goat's milk, whole",Male,0.057,0.048,0.138,0.277,0.046,0.001,7.000000000000001e-05,1.3,0.0013,0.07,0.0003,16.0,134,111,14,0.05,0.3,0.046,0.0014,204,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11116000,"Goat's milk, whole",Female,0.057,0.048,0.138,0.277,0.046,0.001,7.000000000000001e-05,1.3,0.0013,0.07,0.0003,16.0,134,111,14,0.05,0.3,0.046,0.0014,204,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11120000,"Milk, dry, reconstituted, NS as to fat content",Male,0.058,0.037,0.137,0.084,0.032,0.004,0.00035999999999999997,0.6,0.001,0.0,0.0,15.0,114,86,11,0.03,0.37,0.013,0.0024,159,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11120000,"Milk, dry, reconstituted, NS as to fat content",Female,0.058,0.037,0.137,0.084,0.032,0.004,0.00035999999999999997,0.6,0.001,0.0,0.0,15.0,114,86,11,0.03,0.37,0.013,0.0024,159,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11121100,"Milk, dry, reconstituted, whole",Male,0.039,0.043,0.184,0.099,0.046,0.006,0.0005,1.3,0.0016,0.09,0.0003,18.2,142,118,14,0.07,0.52,0.021,0.0025,203,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11121100,"Milk, dry, reconstituted, whole",Female,0.039,0.043,0.184,0.099,0.046,0.006,0.0005,1.3,0.0016,0.09,0.0003,18.2,142,118,14,0.07,0.52,0.021,0.0025,203,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11121210,"Milk, dry, reconstituted, low fat (1%)",Male,0.065,0.036,0.136,0.083,0.032,0.004,0.00035,0.6,0.001,0.03,0.0001,15.0,113,85,11,0.03,0.37,0.013,0.0024,157,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11121210,"Milk, dry, reconstituted, low fat (1%)",Female,0.065,0.036,0.136,0.083,0.032,0.004,0.00035,0.6,0.001,0.03,0.0001,15.0,113,85,11,0.03,0.37,0.013,0.0024,157,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11121300,"Milk, dry, reconstituted, fat free (skim)",Male,0.001,0.037,0.137,0.084,0.032,0.004,0.00035999999999999997,0.6,0.0,0.0,0.0,15.0,114,86,11,0.03,0.37,0.013,0.0024,159,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11121300,"Milk, dry, reconstituted, fat free (skim)",Female,0.001,0.037,0.137,0.084,0.032,0.004,0.00035999999999999997,0.6,0.0,0.0,0.0,15.0,114,86,11,0.03,0.37,0.013,0.0024,159,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11210050,"Milk, evaporated, NS as to fat content",Male,0.065,0.047,0.316,0.194,0.05,0.008,0.00016,1.9,0.002,0.14,0.0005,31.8,261,203,24,0.19,0.77,0.016,0.0023,303,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11210050,"Milk, evaporated, NS as to fat content",Female,0.065,0.047,0.316,0.194,0.05,0.008,0.00016,1.9,0.002,0.14,0.0005,31.8,261,203,24,0.19,0.77,0.016,0.0023,303,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11211050,"Milk, evaporated, whole",Male,0.065,0.047,0.316,0.194,0.05,0.008,0.00016,1.9,0.002,0.14,0.0005,31.8,261,203,24,0.19,0.77,0.016,0.0023,303,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11211050,"Milk, evaporated, whole",Female,0.065,0.047,0.316,0.194,0.05,0.008,0.00016,1.9,0.002,0.14,0.0005,31.8,261,203,24,0.19,0.77,0.016,0.0023,303,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11211400,"Milk, evaporated, reduced fat (2%)",Male,0.131,0.044,0.304,0.171,0.054,0.009,0.00023999999999999998,1.2,0.002,0.05,0.0002,25.1,285,192,27,0.28,0.88,0.016,0.0025,326,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11211400,"Milk, evaporated, reduced fat (2%)",Female,0.131,0.044,0.304,0.171,0.054,0.009,0.00023999999999999998,1.2,0.002,0.05,0.0002,25.1,285,192,27,0.28,0.88,0.016,0.0025,326,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11212050,"Milk, evaporated, fat free (skim)",Male,0.118,0.045,0.309,0.174,0.055,0.009,0.00023999999999999998,1.2,0.002,0.0,0.0,25.2,290,195,27,0.29,0.9,0.016,0.0025,332,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11212050,"Milk, evaporated, fat free (skim)",Female,0.118,0.045,0.309,0.174,0.055,0.009,0.00023999999999999998,1.2,0.002,0.0,0.0,25.2,290,195,27,0.29,0.9,0.016,0.0025,332,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11220000,"Milk, condensed, sweetened",Male,0.074,0.09,0.416,0.21,0.051,0.011,0.00044,2.6,0.0002,0.16,0.0006,89.1,284,253,26,0.19,0.94,0.015,0.0148,371,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11220000,"Milk, condensed, sweetened",Female,0.074,0.09,0.416,0.21,0.051,0.011,0.00044,2.6,0.0002,0.16,0.0006,89.1,284,253,26,0.19,0.94,0.015,0.0148,371,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11300100,"Non-dairy milk, NFS",Male,0.046,0.009,0.076,0.174,0.009,0.003,0.00102,0.0,0.001,4.2,0.0009,9.0,157,32,9,0.33,0.18,0.063,0.0007,57,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11300100,"Non-dairy milk, NFS",Female,0.046,0.009,0.076,0.174,0.009,0.003,0.00102,0.0,0.001,4.2,0.0009,9.0,157,32,9,0.33,0.18,0.063,0.0007,57,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11320000,Soy milk,Male,0.056,0.06,0.081,0.227,0.053,0.019,0.00074,0.0,0.0007,0.15,0.0029,22.7,97,66,21,0.52,0.3,0.104,0.0018,152,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11320000,Soy milk,Female,0.056,0.06,0.081,0.227,0.053,0.019,0.00074,0.0,0.0007,0.15,0.0029,22.7,97,66,21,0.52,0.3,0.104,0.0018,152,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11320100,"Soy milk, light",Male,0.058,0.063,0.084,0.236,0.055,0.02,0.00078,0.0,0.0007,0.16,0.003,23.6,101,69,22,0.54,0.31,0.108,0.0019,158,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11320100,"Soy milk, light",Female,0.058,0.063,0.084,0.236,0.055,0.02,0.00078,0.0,0.0007,0.16,0.003,23.6,101,69,22,0.54,0.31,0.108,0.0019,158,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11320200,"Soy milk, nonfat",Male,0.058,0.063,0.084,0.236,0.055,0.02,0.00078,0.0,0.0007,0.16,0.003,23.6,101,69,22,0.54,0.31,0.108,0.0019,158,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11320200,"Soy milk, nonfat",Female,0.058,0.063,0.084,0.236,0.055,0.02,0.00078,0.0,0.0007,0.16,0.003,23.6,101,69,22,0.54,0.31,0.108,0.0019,158,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11321000,"Soy milk, chocolate",Male,0.054,0.059,0.08,0.225,0.051,0.019,0.0007199999999999999,0.0,0.0006,0.15,0.0028,21.9,94,66,22,0.55,0.31,0.112,0.0018,151,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11321000,"Soy milk, chocolate",Female,0.054,0.059,0.08,0.225,0.051,0.019,0.0007199999999999999,0.0,0.0006,0.15,0.0028,21.9,94,66,22,0.55,0.31,0.112,0.0018,151,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11321100,"Soy milk, light, chocolate",Male,0.058,0.063,0.084,0.242,0.055,0.02,0.00078,0.0,0.0007,0.16,0.003,23.6,101,71,23,0.58,0.33,0.119,0.0019,162,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11321100,"Soy milk, light, chocolate",Female,0.058,0.063,0.084,0.242,0.055,0.02,0.00078,0.0,0.0007,0.16,0.003,23.6,101,71,23,0.58,0.33,0.119,0.0019,162,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11350000,"Almond milk, sweetened",Male,0.039,0.0,0.032,0.071,0.0,0.0,0.00066,0.0,0.0009,6.38,0.0,3.0,166,29,7,0.28,0.16,0.02,0.0,30,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11350000,"Almond milk, sweetened",Female,0.039,0.0,0.032,0.071,0.0,0.0,0.00066,0.0,0.0009,6.38,0.0,3.0,166,29,7,0.28,0.16,0.02,0.0,30,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11350010,"Almond milk, sweetened, chocolate",Male,0.038,0.0,0.033,0.075,0.0,0.0,0.00064,0.0,0.0008,6.16,0.0,2.9,161,30,8,0.31,0.18,0.031,0.0001,33,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11350010,"Almond milk, sweetened, chocolate",Female,0.038,0.0,0.033,0.075,0.0,0.0,0.00064,0.0,0.0008,6.16,0.0,2.9,161,30,8,0.31,0.18,0.031,0.0001,33,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11350020,"Almond milk, unsweetened",Male,0.041,0.0,0.033,0.074,0.0,0.0,0.00068,0.0,0.0009,6.64,0.0,3.1,173,30,7,0.29,0.17,0.021,0.0,31,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11350020,"Almond milk, unsweetened",Female,0.041,0.0,0.033,0.074,0.0,0.0,0.00068,0.0,0.0009,6.64,0.0,3.1,173,30,7,0.29,0.17,0.021,0.0,31,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11350030,"Almond milk, unsweetened, chocolate",Male,0.041,0.0,0.034,0.08,0.0,0.0,0.00068,0.0,0.0009,6.62,0.0,3.1,173,32,8,0.33,0.19,0.032,0.0,35,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11350030,"Almond milk, unsweetened, chocolate",Female,0.041,0.0,0.034,0.08,0.0,0.0,0.00068,0.0,0.0009,6.62,0.0,3.1,173,32,8,0.33,0.19,0.032,0.0,35,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11360000,Rice milk,Male,0.063,0.027,0.142,0.39,0.039,0.002,0.00126,0.0,0.001,0.6,0.0002,2.1,118,56,11,0.2,0.13,0.037,0.0022,27,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11360000,Rice milk,Female,0.063,0.027,0.142,0.39,0.039,0.002,0.00126,0.0,0.001,0.6,0.0002,2.1,118,56,11,0.2,0.13,0.037,0.0022,27,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11370000,Coconut milk,Male,0.063,0.0,0.0,0.0,0.0,0.0,0.00126,0.0,0.001,0.0,0.0,0.0,188,0,0,0.3,0.0,0.0,0.0,19,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
11370000,Coconut milk,Female,0.063,0.0,0.0,0.0,0.0,0.0,0.00126,0.0,0.001,0.0,0.0,0.0,188,0,0,0.3,0.0,0.0,0.0,19,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
11400000,"Yogurt, NFS",Male,0.014,0.044,0.214,0.114,0.049,0.011,0.0005600000000000001,0.8,0.0012,0.03,0.0002,15.2,183,144,17,0.08,0.89,0.013,0.0033,234,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
